Start,arrivals,departures
"St. Mary Axe, Aldgate",13356,12939
"St. Peter's Terrace, Fulham",13491,13841
"Stamford Street, South Bank",17776,15583
"Stanhope Gate, Mayfair",7675,7354
"Stanley Grove, Battersea",4666,5016
"Star Road, West Kensington",7639,8160
"Stephendale Road, Sands End",15121,15567
"Stepney Green Station, Stepney",17732,17963
"Stewart's Road, Wandsworth Road",4747,5223
"Stockwell Roundabout, Stockwell",3815,3455
"Stonecutter Street, Holborn",5032,4800
"Storey's Gate, Westminster",43636,40143
"Strand, Strand",15254,13912
"Strata, Elephant & Castle",14282,14285
"Sugden Road, Clapham",5087,5844
"Sumner Place, South Kensington",8451,8465
"Surrey Lane, Battersea",7510,7994
"Sutton Street, Shadwell",11925,12904
"Swan Street, The Borough",11377,12019
"Tachbrook Street, Victoria",13309,13763
"Tallis Street, Temple",23546,20995
"Tanner Street, Bermondsey",20469,19690
"Tate Modern, Bankside",20488,19388
"Tavistock Place, Bloomsbury",10873,12119
"Tavistock Street, Covent Garden",20108,16145
"Taviton Street, Bloomsbury",14025,14217
"Teversham Lane, Stockwell",4046,3793
"The Green Bridge, Mile End",20956,21515
"The Guildhall, Guildhall",10102,9341
"The Tennis Courts, The Regent's Park",12026,12028
"Theobald's Road , Holborn",16867,17036
"Thorndike Close, West Chelsea",7571,8337
"Tooley Street, Bermondsey",36288,34018
"Torrens Street, Angel",11937,12379
"Tower Gardens , Tower",31274,28841
"Trebovir Road, Earl's Court",10197,10487
"Triangle Car Park, Hyde Park",35304,35366
"Turquoise Island, Notting Hill",13276,13949
"Tyers Gate, Bermondsey",12313,12086
"Tysoe Street, Clerkenwell",18269,18710
"Union Grove, Wandsworth Road",10200,10869
"Union Street, The Borough",12495,12542
"Upcerne Road, West Chelsea",6340,6949
"Upper Bank Street, Canary Wharf",11880,11378
"Upper Grosvenor Street, Mayfair",4211,4697
"Usk Road, Clapham Junction",6682,6923
"Vauxhall Bridge , Pimlico",7574,7545
"Vauxhall Cross, Vauxhall",27858,27787
"Vauxhall Street, Vauxhall",7890,7789
"Vauxhall Walk, Vauxhall",9261,9221
"Vereker Road, West Kensington",11415,12025
"Vicarage Crescent, Battersea",13782,14178
"Vicarage Gate, Kensington",5158,6019
"Victoria & Albert Museum, South Kensington",13305,12637
"Victoria Park Road, Hackney Central",18128,18462
"Victory Place, Walworth",7181,8420
"Vincent Square, Westminster",5659,5598
"Vincent Street, Pimlico",8775,8920
"Walmer Road, Avondale",4039,4095
"Walnut Tree Walk, Vauxhall",8428,9538
"Walworth Road, Elephant & Castle",17462,16733
"Wandsworth Rd, Isley Court, Wandsworth Road",9962,10545
"Wandsworth Town Station, Wandsworth",12964,12348
"Wapping High Street, Wapping",7690,7717
"Wapping Lane, Wapping",13782,14016
"Wardour Street, Soho",21730,20809
"Warren Street Station, Euston",17854,18523
"Warwick Avenue Station, Maida Vale",13965,14699
"Warwick Road, Olympia",10017,9838
"Warwick Square, Pimlico",10619,12242
"Waterloo Bridge, South Bank",8887,8563
"Waterloo Place, St. James's",19570,17245
"Waterloo Road, South Bank",11528,11377
"Waterloo Station 1, Waterloo",61887,65353
"Waterloo Station 2, Waterloo",24990,37281
"Waterloo Station 3, Waterloo",74256,77287
"Watney Market, Stepney",9278,9687
"Watney Street, Shadwell",15289,16399
"Webber Street , Southwark",10193,11302
"Wellington Arch, Hyde Park",45309,44970
"Wellington Road, St. John's Wood",7052,7951
"Wellington Row, Bethnal Green",11343,12665
"Wellington Street , Strand",26768,24337
"Wells Street, Fitzrovia",17810,17146
"Wendon Street, Old Ford",6415,6695
"Wenlock Road , Hoxton",13083,16086
"West Cromwell Road, Earl's Court",8165,8366
"West Kensington Station, West Kensington",7362,7588
